AFFY ID	AGI
261585_at	At1g01010
261568_at	At1g01030
261584_at	At1g01040
261579_at	At1g01050
261569_at	At1g01060
261576_at	At1g01070
261577_at	At1g01080
261583_at	At1g01090
261578_at	At1g01100
261580_at	At1g01110
261570_at	At1g01120
261575_at	At1g01130
261581_at	At1g01140
261571_at	At1g01150
261582_at	At1g01160
261572_at	At1g01170
261573_at	At1g01180
261574_at	At1g01190
261042_at	At1g01200
261043_at	At1g01220
261025_at	At1g01225
261057_at	At1g01230
261026_at	At1g01240
261059_at	At1g01250
261050_at	At1g01260
261051_at	At1g01280
261044_at	At1g01290
261055_at	At1g01300
261045_at	At1g01310
261053_at	At1g01320
261054_at	At1g01320
261027_at	At1g01340
261056_at	At1g01360
261058_at	At1g01370
257490_x_at	At1g01380
261046_at	At1g01390
261047_at	At1g01410
261048_at	At1g01420
261049_at	At1g01430
261052_at	At1g01440
259435_at	At1g01450
259425_at	At1g01460
259426_at	At1g01470
259439_at	At1g01480
259434_at	At1g01490
259436_at	At1g01500
259438_at	At1g01510
259432_at	At1g01520
259427_at	At1g01530
259437_at	At1g01540
259440_at	At1g01550
259428_at	At1g01560
259433_at	At1g01570
259429_at	At1g01600
259430_at	At1g01610
259431_at	At1g01620
261563_at	At1g01630
261586_at	At1g01640
257484_at	At1g01650
261587_at	At1g01660
261588_at	At1g01670
261589_at	At1g01690
261590_at	At1g01700
261560_at	At1g01710
261564_at	At1g01720
261535_at	At1g01725
261561_at	At1g01730
261591_at	At1g01740
261562_at	At1g01750
261592_at	At1g01760
261558_at	At1g01770
261559_at	At1g01780
261536_at	At1g01790
261537_at	At1g01800
261534_at	At1g01820
261538_at	At1g01830
261539_at	At1g01840
261652_at	At1g01860
261653_at	At1g01900
261627_at	At1g01910
261654_at	At1g01920
261625_at	At1g01930
261655_at	At1g01940
261656_at	At1g01950
261621_at	At1g01960
261622_at	At1g01970
261623_at	At1g01980
261626_at	At1g01990
261624_at	At1g02000
264169_at	At1g02020
264175_at	At1g02050
264167_at	At1g02060
264151_at	At1g02070
264168_at	At1g02080
264150_at	At1g02090
264171_at	At1g02100
264176_at	At1g02110
264172_at	At1g02120
264122_at	At1g02130
264152_at	At1g02140
264177_at	At1g02150
264173_at	At1g02160
264178_at	At1g02170
264179_at	At1g02180
264180_at	At1g02190
264146_at	At1g02205
264147_at	At1g02205
264148_at	At1g02220
264149_at	At1g02250
264170_at	At1g02260
264123_at	At1g02270
264121_at	At1g02280
259441_at	At1g02300
259416_at	At1g02305
259442_at	At1g02310
259413_at	At1g02320
259415_at	At1g02330
259417_at	At1g02340
259443_at	At1g02360
259444_at	At1g02370
259418_at	At1g02390
259445_at	At1g02400
259446_at	At1g02410
259414_at	At1g02420
260904_at	At1g02450
260903_at	At1g02460
260933_at	At1g02470
260916_at	At1g02475
260911_at	At1g02490
260913_at	At1g02500
260906_at	At1g02540
260931_at	At1g02550
260912_at	At1g02560
260907_at	At1g02570
260908_at	At1g02580
260930_at	At1g02620
260914_at	At1g02640
260915_at	At1g02660
260909_at	At1g02670
260929_at	At1g02680
260910_at	At1g02690
260917_at	At1g02700
260905_at	At1g02710
260928_at	At1g02720
262109_at	At1g02730
262108_at	At1g02740
262107_at	At1g02750
262117_at	At1g02780
262122_at	At1g02790
262121_at	At1g02800
262105_at	At1g02810
262115_at	At1g02813
262116_at	At1g02816
262113_at	At1g02820
262132_at	At1g02830
262110_at	At1g02840
262118_at	At1g02850
262114_at	At1g02860
262112_at	At1g02870
262130_at	At1g02890
262131_at	At1g02900
262104_at	At1g02910
262103_at	At1g02940
262120_at	At1g02950
262111_at	At1g02960
262106_at	At1g02970
262102_at	At1g02980
263170_at	At1g03000
263169_at	At1g03010
263168_at	At1g03020
263167_at	At1g03030
263117_at	At1g03040
263166_at	At1g03050
263115_at	At1g03055
263165_at	At1g03060
263164_at	At1g03070
263112_at	At1g03080
263118_at	At1g03090
263143_at	At1g03100
263119_at	At1g03110
263114_at	At1g03130
263113_at	At1g03150
263163_at	At1g03160
264363_at	At1g03170
264358_at	At1g03180
264356_at	At1g03190
264355_at	At1g03210
264366_at	At1g03250
264353_at	At1g03260
264352_at	At1g03270
264368_at	At1g03280
264362_at	At1g03290
264361_at	At1g03300
264360_at	At1g03310
264359_at	At1g03320
264364_at	At1g03330
264367_at	At1g03350
264357_at	At1g03360
264351_at	At1g03370
264828_at	At1g03380
264827_at	At1g03390
264843_at	At1g03400
264826_at	At1g03410
264824_at	At1g03420
264838_at	At1g03430
264840_at	At1g03440
264823_at	At1g03445
264822_at	At1g03457
264821_at	At1g03470
264820_at	At1g03475
264829_at	At1g03490
264819_at	At1g03510
264844_at	At1g03520
264818_at	At1g03530
264817_at	At1g03540
264835_at	At1g03550
264816_at	At1g03560
264833_at	At1g03590
264837_at	At1g03600
264836_at	At1g03610
264815_at	At1g03620
264839_at	At1g03630
264832_at	At1g03660
264845_at	At1g03680
264831_at	At1g03687
264842_at	At1g03700
264830_at	At1g03710
264825_at	At1g03720
264834_at	At1g03730
264841_at	At1g03740
265088_at	At1g03750
265086_at	At1g03770
265085_at	At1g03780
265084_at	At1g03790
