AGI ID	Array Annotation Category
At1g01120	ABA
At1g01240	ABA
At1g01520	ABA
At1g02200	ABA
At1g02310	ABA
At1g02816	ABA
At1g03520	ABA
At1g04220	ABA
At1g04560	ABA
At1g05100	ABA
At1g07430	ABA
At1g07870	ABA
At1g08900	ABA
At1g09520	ABA
At1g10090	ABA
At1g14530	ABA
At1g14730	ABA
At1g15410	ABA
At1g16280	ABA
At1g16850	ABA
At1g17550	ABA
At1g18460	ABA
At1g19230	ABA
At1g19970	ABA
At1g20070	ABA
At1g20440	ABA
At1g20450	ABA
At1g20590	ABA
At1g21400	ABA
At1g21790	ABA
At1g22640	ABA
At1g23480	ABA
At1g23710	ABA
At1g24600	ABA
At1g27200	ABA
At1g30500	ABA
At1g30620	ABA
At1g33600	ABA
At1g42990	ABA
At1g47610	ABA
At1g47960	ABA
At1g48100	ABA
At1g49450	ABA
At1g50630	ABA
At1g50840	ABA
At1g51790	ABA
At1g51800	ABA
At1g51805	ABA
At1g52690	ABA
At1g53430	ABA
At1g53440	ABA
At1g56170	ABA
At1g56600	ABA
At1g58110	ABA
At1g60080	ABA
At1g60190	ABA
At1g62280	ABA
At1g62710	ABA
At1g63720	ABA
At1g64110	ABA
At1g64170	ABA
At1g64380	ABA
At1g65390	ABA
At1g65400	ABA
At1g67360	ABA
At1g67920	ABA
At1g68020	ABA
At1g68050	ABA
At1g68620	ABA
At1g69295	ABA
At1g69480	ABA
At1g70170	ABA
At1g70420	ABA
At1g71960	ABA
At1g72240	ABA
At1g72770	ABA
At1g73220	ABA
At1g73920	ABA
At1g75030	ABA
At1g75170	ABA
At1g76180	ABA
At1g77680	ABA
At1g77690	ABA
At1g78080	ABA
At1g78270	ABA
At1g79270	ABA
At1g79520	ABA
At1g80160	ABA
At2g01630	ABA
At2g02020	ABA
At2g02710	ABA
At2g04350	ABA
At2g14460	ABA
At2g17680	ABA
At2g17840	ABA
At2g18050	ABA
At2g18170	ABA
At2g19810	ABA
At2g21180	ABA
At2g21560	ABA
At2g21590	ABA
At2g21820	ABA
At2g22190	ABA
At2g22430	ABA
At2g22500	ABA
At2g23120	ABA
At2g24540	ABA
At2g25530	ABA
At2g26440	ABA
At2g28600	ABA
At2g29330	ABA
At2g29380	ABA
At2g32510	ABA
At2g32800	ABA
At2g35300	ABA
At2g35585	ABA
At2g37770	ABA
