AGI ID	Array Annotation Category	
AT1G01060	DDHH_0	
AT1G06820	DDHH_0	
AT1G09150	DDHH_0	
AT1G13030	DDHH_0	
AT1G15460	DDHH_0	
AT1G16060	DDHH_0	
AT1G24735	DDHH_0	
AT1G25510	DDHH_0	
AT1G28460	DDHH_0	
AT1G33890	DDHH_0	
AT1G43160	DDHH_0	
AT1G47570	DDHH_0	
AT1G48270	DDHH_0	
AT1G55870	DDHH_0	
AT1G62085	DDHH_0	
AT1G64530	DDHH_0
AT1G65700	DDHH_0
AT1G72770	DDHH_0
AT1G73590	DDHH_0
AT1G76050	DDHH_0
AT1G76120	DDHH_0
AT1G79490	DDHH_0
AT1G80270	DDHH_0
AT2G07340	DDHH_0
AT2G07693	DDHH_0
AT2G16570	DDHH_0
AT2G17680	DDHH_0
AT2G18620	DDHH_0
AT2G22425	DDHH_0
AT2G22475	DDHH_0
AT2G23630	DDHH_0
AT2G27590	DDHH_0
AT2G29210	DDHH_0
AT2G29410	DDHH_0
AT2G31400	DDHH_0
AT2G32930	DDHH_0
AT2G34210	DDHH_0
AT2G34330	DDHH_0
AT2G37160	DDHH_0
AT2G40400	DDHH_0
AT2G41060	DDHH_0
AT2G41780	DDHH_0
AT2G43650	DDHH_0
AT3G01790	DDHH_0
AT3G07170	DDHH_0
AT3G12680	DDHH_0
AT3G12890	DDHH_0
AT3G15350	DDHH_0
AT3G16330	DDHH_0
AT3G16630	DDHH_0
AT3G17160	DDHH_0
AT3G17830	DDHH_0
AT3G19550	DDHH_0
AT3G19650	DDHH_0
AT3G19850	DDHH_0
AT3G23920	DDHH_0
AT3G24280	DDHH_0
AT3G25850	DDHH_0
AT3G26360	DDHH_0
AT3G52170	DDHH_0
AT3G56580	DDHH_0
AT3G61130	DDHH_0
AT4G02700	DDHH_0
AT4G11400	DDHH_0
AT4G12440	DDHH_0
AT4G14290	DDHH_0
AT4G14500	DDHH_0
AT4G15160	DDHH_0
AT4G15975	DDHH_0
AT4G16700	DDHH_0
AT4G16840	DDHH_0
AT4G23740	DDHH_0
AT4G24890	DDHH_0
AT4G25240	DDHH_0
AT4G31760	DDHH_0
AT4G36710	DDHH_0
AT4G38130	DDHH_0
AT4G39630	DDHH_0
AT5G02070	DDHH_0
AT5G03030	DDHH_0
AT5G06410	DDHH_0
AT5G08250	DDHH_0
AT5G14640	DDHH_0
AT5G16230	DDHH_0
AT5G18820	DDHH_0
AT5G20070	DDHH_0
AT5G22320	DDHH_0
AT5G24070	DDHH_0
AT5G27240	DDHH_0
AT5G28640	DDHH_0
AT5G35025;AT4G04820;AT2G12680	DDHH_0
AT5G37290	DDHH_0
AT5G37580	DDHH_0
AT5G42320	DDHH_0
