	WER_MEAN	CORTEX_MEAN	pet111_MEAN	scr5_MEAN	wol_MEAN
244901_at	0.775318586	0.675892628	0.619178561	0.720985147	0.812204883
244902_at	0.712070237	0.679137952	0.620678799	0.74791477	1.002128407
244903_at	2.065186078	1.581832636	1.04934916	1.950217008	2.998605525
244904_at	0.952195285	0.841016069	0.727694938	1.002632183	1.402218114
244905_at	0.567963609	0.552992029	0.540648656	0.691802896	0.786119696
244906_at	1.522071013	1.9883975	1.029435809	1.377175661	2.033616927
244907_at	0.469792792	0.49853535	0.483943074	0.605825938	0.683373926
244908_at	0.465192362	0.471582322	0.453387091	0.661890933	0.68660841
244909_at	0.539897167	0.478874173	0.494273236	0.744431958	0.927248717
244910_s_at	0.496913059	0.514639885	0.48481984	0.723189821	0.925244897
244911_at	0.41611348	0.385448361	0.379425671	0.504079578	0.611926596
244912_at	3.969932177	5.23712556	1.780379384	3.41635783	5.595077771
244913_at	0.793058638	0.778521425	0.675640973	1.187109588	1.397670424
244914_at	0.394479532	0.400544278	0.406160767	0.514397281	0.600839364
244915_s_at	0.584548133	0.585613775	0.589299984	0.774953988	1.201824138
244916_at	0.595883984	0.592844975	0.605748031	0.708941455	0.708087911
244917_at	0.476033722	0.411595646	0.443779306	0.575192324	0.717604061
244918_at	0.46212407	0.426313448	0.39346427	0.585142085	0.78484738
244919_at	0.687916108	0.664940144	0.655117599	0.886149143	1.119256027
244920_s_at	2.520594216	6.506818692	2.491046729	2.622754771	4.202645481
244921_s_at	1.565370646	2.370712129	1.038766413	1.329946678	1.97784926
244922_s_at	0.775729051	1.033109128	0.884693895	0.982003765	1.091477856
244923_s_at	0.7386934	0.718311963	0.730779622	0.944228141	1.302694096
244924_at	0.702447765	0.716694194	0.680377456	1.328751471	2.102254751
244925_at	0.446348905	0.483204198	0.523613084	0.522665037	0.647154235
244926_s_at	1.013710379	0.583141953	0.491623791	0.779768135	1.053535278
244927_at	0.784551731	0.741036319	0.658780065	1.083193442	1.224840579
244928_s_at	0.997728388	2.025003477	0.830255829	1.680684964	2.237650415
244929_at	2.204811245	5.211281846	2.632349765	3.812622774	6.373991163
244930_at	0.425639966	0.380010033	0.378544622	0.511002533	0.621172142
244931_at	1.005221852	1.010649247	0.717449146	1.108464967	1.56995629
