superpathway of sucrose degradation to pyruvate	2
unknown 	PWY-1042 	unknown
unknown 	PWY-621 	unknown
superpathway of starch degradation to pyruvate	2
unknown 	GLYCOLYSIS 	unknown
unknown 	PWY-842 	unknown
superpathway of ascorbate biosynthesis	3
unknown 	PWYQT-4434 	unknown
unknown 	PWY-5115 	unknown
unknown 	PWYQT-4441 	unknown
superpathway of gluconate degradation	13
unknown 	2.7.1.12 	unknown
AT5G44520 	5.3.1.6 	ribose-5-phosphate isomerase
AT3G04790 	5.3.1.6 	ribose-5-phosphate isomerase
AT2G01290 	5.3.1.6 	ribose-5-phosphate isomerase
AT1G71100 	5.3.1.6 	ribose-5-phosphate isomerase
AT5G41670 	1.1.1.44 	phosphogluconate dehydrogenase (decarboxylating)
AT4G20930 	1.1.1.44 	phosphogluconate dehydrogenase (decarboxylating)
AT3G25530 	1.1.1.44 	3-hydroxybutyrate dehydrogenase
AT3G02360 	1.1.1.44 	phosphogluconate dehydrogenase (decarboxylating)
AT1G64190 	1.1.1.44 	phosphogluconate dehydrogenase (decarboxylating)
AT1G17650 	1.1.1.44 	phosphogluconate dehydrogenase (decarboxylating)
AT1G71180 	1.1.1.44 	phosphogluconate dehydrogenase (decarboxylating)
AT1G71170 	1.1.1.44 	phosphogluconate dehydrogenase (decarboxylating)
TCA cycle	36
AT2G46390 	1.3.5.1 	complex II
AT5G62575 	1.3.5.1 	complex II
AT3G47833 	1.3.5.1 	complex II
AT1G08480 	1.3.5.1 	complex II
AT1G47420 	1.3.5.1 	complex II
AT2G46505 	1.3.5.1 	complex II
AT4G32210 	1.3.5.1 	complex II
AT5G40650 	1.3.5.1 	complex II
AT5G66760 	1.3.5.1 	complex II
AT4G26970 	4.2.1.3 	aconitate hydratase
AT4G35830 	4.2.1.3 	aconitate hydratase
AT3G58750 	2.3.3.1 	citrate (SI)-synthase
AT3G58740 	2.3.3.1 	citrate (SI)-synthase
AT3G60100 	2.3.3.1 	citrate (SI)-synthase
AT2G42790 	2.3.3.1 	citrate (SI)-synthase
unknown 	4.2.1.3 	unknown
AT5G14590 	1.1.1.42 	isocitrate dehydrogenase (NADP+)
