agi	family	occurences	databases		
AT1G13960	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT1G53230	TCP	3	agris2.csv	peking2.csv	riken2.csv
AT1G01530	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT1G74930	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G53950	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT5G59780	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT3G23690	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT3G23140	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G22890	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT3G51080	C2C2-GATA	2	agris2.csv	peking2.csv	
AT1G30810	JUMONJI	3	agris2.csv	peking2.csv	riken2.csv
AT4G28790	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT5G25830	C2C2-GATA	2	agris2.csv	peking2.csv	
AT3G59060	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT5G04240	C2H2	2	agris2.csv	riken2.csv	
AT1G46480	HB	3	agris2.csv	peking2.csv	riken2.csv
AT5G15480	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G46350	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT2G17770	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT3G28910	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT5G66940	C2C2-DOF	2	agris2.csv	peking2.csv	
AT1G05380	PHD	2	agris2.csv	peking2.csv	
AT1G72210	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT5G61190	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT3G30530	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT3G46090	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT1G07530	GRAS	3	agris2.csv	peking2.csv	riken2.csv
AT5G63430	TRIHELIX	2	peking2.csv	riken2.csv	
AT1G75390	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT5G55020	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT1G03040	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT1G78080	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G24110	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT1G77200	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G76420	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT1G30500	CCAAT-HAP2	2	agris2.csv	peking2.csv	
AT2G12980	bZIP	2	agris2.csv	riken2.csv	
AT2G31230	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G54070	HSF	3	agris2.csv	peking2.csv	riken2.csv
AT5G15210	ZF-HD	2	agris2.csv	peking2.csv	
AT3G05760	C2H2	2	agris2.csv	riken2.csv	
AT1G68200	C3H	2	agris2.csv	peking2.csv	
AT1G18400	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT2G25650	GEBP	2	agris2.csv	peking2.csv	
AT4G28811	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT3G07650	C2C2-CO-LIKE	2	agris2.csv	peking2.csv	
AT1G21200	TRIHELIX	2	peking2.csv	riken2.csv	
AT1G08620	JUMONJI	3	agris2.csv	peking2.csv	riken2.csv
AT5G40330	MYB	3	agris2.csv	peking2.csv	riken2.csv
