agi	family
AT1G01010	NAC
AT1G01030	ABI3/VP1
AT1G01060	MYB
AT1G01250	AP2/EREBP
AT1G01260	BHLH
AT1G01350	C2H2
AT1G01380	MYB
AT1G01520	MYB
AT1G01530	MADS
AT1G01720	NAC
AT1G01930	C2H2
AT1G02030	C2H2
AT1G02040	C2H2
AT1G02065	SBP
AT1G02210	NAC
AT1G02220	NAC
AT1G02230	NAC
AT1G02240	NAC
AT1G02250	NAC
AT1G02340	BHLH
AT1G03040	BHLH
AT1G03490	NAC
AT1G03800	AP2/EREBP
AT1G03840	C2H2
AT1G03970	BZIP
AT1G04100	AUX/IAA
AT1G04240	AUX/IAA
AT1G04250	AUX/IAA
AT1G04370	AP2/EREBP
AT1G04445	C2H2
AT1G04550	AUX/IAA
AT1G04850	C2H2
AT1G04880	ARID
At1g05230	HD-Zip IV
AT1G05380	PHD
AT1G05710	BHLH
AT1G05805	BHLH
AT1G06070	BZIP
AT1G06160	AP2/EREBP
AT1G06170	BHLH
AT1G06180	MYB
AT1G06850	BZIP
AT1G07520	GRAS
AT1G07530	GRAS
AT1G07640	C2C2-DOF
AT1G07980	CCAAT-HAP5
AT1G08000	C2C2-GATA
AT1G08010	C2C2-GATA
AT1G08290	C2H2
AT1G08320	BZIP
AT1G08620	JUMONJI
AT1G08810	MYB
AT1G08970	CCAAT-HAP5
AT1G09030	CCAAT-HAP3
AT1G09250	BHLH
AT1G09530	BHLH
AT1G09540	MYB
AT1G09710	MYB
AT1G09770	MYB
AT1G10120	BHLH
AT1G10480	C2H2
AT1G10610	BHLH
AT1G11490	C2H2
AT1G11510	GEBP
AT1G12260	NAC
AT1G12540	BHLH
AT1G12610	AP2/EREBP
AT1G12630	AP2/EREBP
AT1G12860	BHLH
AT1G12890	AP2/EREBP
AT1G12980	AP2/EREBP
AT1G13260	AP2/EREBP
AT1G13290	C2H2
AT1G13400	C2H2
AT1G13450	TRIHELIX
AT1G13600	BZIP
AT1G13960	WRKY
AT1G14350	MYB
AT1G14440	ZF-HD
AT1G14510	ALFIN-LIKE
AT1G14580	C2H2
AT1G14687	ZF-HD
AT1G14920	GRAS
AT1G15050	AUX/IAA
AT1G15360	AP2/EREBP
AT1G15580	AUX/IAA
AT1G16060	AP2/EREBP
AT1G16070	TUB
AT1G16490	MYB
AT1G17310	MADS
AT1G17460	MYB
AT1G17520	MYB
AT1G17590	CCAAT-HAP2
At1g17920	HD-Zip IV
AT1G17950	MYB
AT1G18330	MYB
AT1G18400	BHLH
AT1G18570	MYB
AT1G18710	MYB
AT1G18750	MADS
AT1G18790	NIN-LIKE
AT1G18860	WRKY
AT1G18960	MYB
AT1G19000	MYB
AT1G19040	NAC
AT1G19210	AP2/EREBP
AT1G19220	ARF
AT1G19490	BZIP
At1g19700	BEL
AT1G19850	ARF
AT1G20640	NIN-LIKE
At1g20700	WOX
At1g20710	WOX
AT1G20910	ARID
AT1G20980	SBP
AT1G21200	TRIHELIX
AT1G21340	C2C2-DOF
AT1G21450	GRAS
AT1G21910	AP2/EREBP
AT1G21970	CCAAT-HAP3
AT1G22070	BZIP
AT1G22130	MADS
AT1G22190	AP2/EREBP
AT1G22380	BHLH
AT1G22490	BHLH
AT1G22590	MADS
AT1G22640	MYB
AT1G22810	AP2/EREBP
AT1G22985	AP2/EREBP
AT1G23370	HB
At1g23380	KNOX
AT1G23420	C2C2-YABBY
AT1G24260	MADS
AT1G24590	AP2/EREBP
AT1G24625	C2H2
AT1G24630	C2H2
AT1G25250	C2H2
AT1G25280	TUB
AT1G25310	BHLH
AT1G25330	BHLH
AT1G25340	MYB
AT1G25440	C2C2-CO-LIKE
AT1G25470	AP2/EREBP
AT1G25560	ABI3/VP1
AT1G25560	AP2/EREBP
AT1G25580	NAC
AT1G26260	BHLH
AT1G26310	MADS
AT1G26590	C2H2
AT1G26610	C2H2
AT1G26780	MYB
AT1G26790	C2C2-DOF
AT1G26870	NAC
At1g26960	HD-Zip I
At1g27050	HD-Zip I
AT1G27360	SBP
AT1G27370	SBP
AT1G27660	BHLH
AT1G27730	C2H2
AT1G27740	BHLH
AT1G28050	C2C2-CO-LIKE
AT1G28160	AP2/EREBP
AT1G28300	ABI3/VP1
AT1G28310	C2C2-DOF
AT1G28360	AP2/EREBP
AT1G28370	AP2/EREBP
At1g28420	Similar to HOX7 (tomato)
AT1G28450	MADS
AT1G28460	MADS
AT1G28470	NAC
AT1G29160	C2C2-DOF
AT1G29280	WRKY
AT1G29860	WRKY
AT1G29950	BHLH
AT1G29960	MADS
AT1G30210	TCP
AT1G30330	ARF
At1g30490	HD-Zip III
AT1G30500	CCAAT-HAP2
AT1G30650	WRKY
AT1G30670	BHLH
AT1G30810	JUMONJI
AT1G30970	C2H2
AT1G31050	BHLH
AT1G31140	MADS
AT1G31310	TRIHELIX
AT1G31630	MADS
AT1G31640	MADS
AT1G32150	BZIP
AT1G32330	HSF
AT1G32510	NAC
AT1G32640	BHLH
AT1G32770	NAC
AT1G32870	NAC
AT1G33060	NAC
AT1G33240	TRIHELIX
AT1G33280	NAC
AT1G33760	AP2/EREBP
AT1G34170	ARF
AT1G34180	NAC
AT1G34190	NAC
AT1G34310	ARF
AT1G34370	C2H2
AT1G34390	ARF
AT1G34410	ARF
At1g34650	HD-Zip IV
AT1G34670	MYB
AT1G34790	C2H2
AT1G35240	ARF
AT1G35460	BHLH
AT1G35515	MYB
AT1G35520	ARF
AT1G35540	ARF
AT1G35560	TCP
AT1G36060	AP2/EREBP
AT1G42990	BZIP
AT1G43160	AP2/EREBP
AT1G43640	TUB
AT1G43700	BZIP
AT1G43860	C2H2
AT1G43950	ARF
AT1G44810	GEBP
AT1G44830	AP2/EREBP
AT1G46264	HSF
AT1G46408	MADS
At1g46480	WOX
AT1G46768	AP2/EREBP
AT1G47270	TUB
AT1G47760	MADS
AT1G47860	C2H2
AT1G47870	E2F/DP
AT1G48000	MYB
AT1G48150	MADS
AT1G49010	MYB
AT1G49120	AP2/EREBP
AT1G49130	C2C2-CO-LIKE
AT1G49720	BZIP
AT1G49770	BHLH
AT1G49900	C2H2
AT1G49950	MYB
AT1G50420	GRAS
AT1G50600	GRAS
AT1G50640	AP2/EREBP
AT1G50670	C2H2
AT1G50680	AP2/EREBP
AT1G51070	BHLH
AT1G51120	AP2/EREBP
AT1G51140	BHLH
AT1G51190	AP2/EREBP
AT1G51220	C2H2
AT1G51600	C2C2-GATA
AT1G51700	C2C2-DOF
AT1G51950	AUX/IAA
At1g52150	HD-Zip III
AT1G52830	AUX/IAA
AT1G52880	NAC
AT1G52890	NAC
AT1G53160	SBP
AT1G53170	AP2/EREBP
AT1G53230	TCP
AT1G53320	TUB
AT1G53910	AP2/EREBP
AT1G54060	TRIHELIX
AT1G54160	CCAAT-HAP2
AT1G54330	NAC
AT1G54760	MADS
AT1G54830	CCAAT-HAP5
AT1G55110	C2H2
AT1G55460	C2H2
AT1G55580	GRAS
AT1G55600	WRKY
AT1G55650	ARID
AT1G56010	NAC
AT1G56160	MYB
AT1G56170	CCAAT-HAP5
AT1G56650	MYB
AT1G57557	MYB
AT1G58100	TCP
AT1G58220	MYB
AT1G59530	BZIP
AT1G59640	BHLH
AT1G59750	ARF
AT1G59810	MADS
AT1G60040	MADS
AT1G60240	NAC
AT1G60250	C2C2-CO-LIKE
AT1G60280	NAC
AT1G60300	NAC
AT1G60340	NAC
AT1G60350	NAC
AT1G60380	NAC
AT1G60880	MADS
AT1G60920	MADS
AT1G61110	NAC
AT1G61660	BHLH
AT1G61730	GEBP
AT1G61940	TUB
AT1G62300	WRKY
At1g62360	KNOX
AT1G62700	NAC
AT1G62975	BHLH
At1g62990	KNOX
AT1G63030	AP2/EREBP
AT1G63040	AP2/EREBP
AT1G63100	GRAS
AT1G63490	JUMONJI
AT1G63650	BHLH
AT1G63910	MYB
AT1G64000	WRKY
AT1G64100	NAC
AT1G64380	AP2/EREBP
AT1G64530	NIN-LIKE
AT1G64620	C2C2-DOF
AT1G64625	BHLH
AT1G65110	C2H2
AT1G65120	C2H2
AT1G65130	C2H2
AT1G65200	C2H2
