Transcript	SoyDB
Glyma01g11670.1	ABI3-VP1
Glyma01g32810.1	ABI3-VP1
Glyma01g45640.1	ABI3-VP1
Glyma02g36090.1	ABI3-VP1
Glyma02g40280.1	ABI3-VP1
Glyma02g40400.1	ABI3-VP1
Glyma02g46090.1	ABI3-VP1
Glyma03g04330.1	ABI3-VP1
Glyma03g35700.1	ABI3-VP1
Glyma03g40650.1	ABI3-VP1
Glyma03g42300.1	ABI3-VP1
Glyma04g04030.1	ABI3-VP1
Glyma04g16680.1	ABI3-VP1
Glyma04g36750.1	ABI3-VP1
Glyma04g43620.1	ABI3-VP1
Glyma06g04190.1	ABI3-VP1
Glyma06g04200.1	ABI3-VP1
Glyma07g05380.1	ABI3-VP1
Glyma07g19380.1	ABI3-VP1
Glyma07g21160.1	ABI3-VP1
Glyma07g35040.1	ABI3-VP1
Glyma08g44640.1	ABI3-VP1
Glyma08g44650.1	ABI3-VP1
Glyma08g47240.1	ABI3-VP1
Glyma09g18790.1	ABI3-VP1
Glyma09g20060.1	ABI3-VP1
Glyma09g20280.1	ABI3-VP1
Glyma10g08860.1	ABI3-VP1
Glyma10g40630.1	ABI3-VP1
Glyma10g42770.1	ABI3-VP1
Glyma10g42780.1	ABI3-VP1
Glyma10g42790.1	ABI3-VP1
Glyma11g13210.1	ABI3-VP1
Glyma11g13210.2	ABI3-VP1
Glyma11g13220.1	ABI3-VP1
Glyma11g13220.2	ABI3-VP1
Glyma11g13220.3	ABI3-VP1
Glyma11g13230.1	ABI3-VP1
Glyma11g13350.1	ABI3-VP1
Glyma11g31270.1	ABI3-VP1
Glyma12g05240.1	ABI3-VP1
Glyma12g05240.2	ABI3-VP1
Glyma12g05250.1	ABI3-VP1
Glyma12g05250.2	ABI3-VP1
Glyma12g05250.3	ABI3-VP1
Glyma12g05250.4	ABI3-VP1
Glyma12g05260.1	ABI3-VP1
Glyma13g05930.1	ABI3-VP1
Glyma13g31970.1	ABI3-VP1
Glyma14g06030.1	ABI3-VP1
Glyma14g08630.1	ABI3-VP1
Glyma14g08640.1	ABI3-VP1
Glyma14g38490.1	ABI3-VP1
Glyma15g07350.1	ABI3-VP1
Glyma16g01950.1	ABI3-VP1
Glyma16g05110.1	ABI3-VP1
Glyma16g05480.1	ABI3-VP1
Glyma16g23000.1	ABI3-VP1
Glyma17g20180.1	ABI3-VP1
Glyma17g36460.1	ABI3-VP1
Glyma17g36470.1	ABI3-VP1
Glyma17g36490.1	ABI3-VP1
Glyma18g05840.1	ABI3-VP1
Glyma18g30690.1	ABI3-VP1
Glyma18g30700.1	ABI3-VP1
Glyma18g38490.1	ABI3-VP1
Glyma19g27340.1	ABI3-VP1
Glyma19g27950.1	ABI3-VP1
Glyma19g38340.1	ABI3-VP1
Glyma19g45090.1	ABI3-VP1
Glyma20g01130.1	ABI3-VP1
Glyma20g04730.1	ABI3-VP1
Glyma20g04750.1	ABI3-VP1
Glyma20g24210.1	ABI3-VP1
Glyma20g24220.1	ABI3-VP1
Glyma20g24230.1	ABI3-VP1
Glyma20g24240.1	ABI3-VP1
Glyma20g24270.1	ABI3-VP1
Glyma01g27150.1	ARF
Glyma07g10410.1	ARF
Glyma10g42160.1	ARF
Glyma15g23740.1	ARF
Glyma18g11290.1	ARF
Glyma18g40510.1	ARF
Glyma06g41460.1	ND
Glyma09g15540.1	ND
Glyma01g29950.1	Alfin
Glyma02g06490.1	Alfin
Glyma03g07750.1	Alfin
Glyma04g05750.1	Alfin
Glyma06g47790.1	Alfin
Glyma07g04040.1	Alfin
Glyma07g04040.2	Alfin
Glyma07g04040.3	Alfin
Glyma07g18270.1	Alfin
Glyma07g40170.1	Alfin
Glyma09g07970.1	Alfin
Glyma13g16740.1	Alfin
Glyma13g42250.1	Alfin
Glyma14g11400.1	Alfin
Glyma14g11400.2	Alfin
Glyma14g11400.3	Alfin
Glyma15g03160.1	Alfin
Glyma15g03160.2	Alfin
Glyma16g00680.1	Alfin
Glyma16g00680.2	Alfin
Glyma16g00680.3	Alfin
Glyma16g00680.4	Alfin
Glyma17g00630.1	Alfin
Glyma17g05940.1	Alfin
Glyma17g05940.2	Alfin
Glyma17g34250.1	Alfin
Glyma18g43120.1	Alfin
Glyma0041s00200.1	AP2-EREBP
Glyma01g02760.1	AP2-EREBP
Glyma01g03110.1	AP2-EREBP
Glyma01g13410.1	AP2-EREBP
Glyma01g20450.1	AP2-EREBP
Glyma01g22260.1	AP2-EREBP
Glyma01g24380.1	AP2-EREBP
Glyma01g34280.1	AP2-EREBP
Glyma01g35010.1	AP2-EREBP
Glyma01g39520.1	AP2-EREBP
Glyma01g39520.2	AP2-EREBP
Glyma01g39540.1	AP2-EREBP
Glyma01g40380.1	AP2-EREBP
Glyma01g41520.1	AP2-EREBP
Glyma01g42500.1	AP2-EREBP
Glyma01g42500.2	AP2-EREBP
Glyma01g42510.1	AP2-EREBP
Glyma01g43350.1	AP2-EREBP
Glyma01g43450.1	AP2-EREBP
Glyma01g44130.1	AP2-EREBP
Glyma01g44140.1	AP2-EREBP
Glyma01g44230.1	AP2-EREBP
Glyma02g00870.1	AP2-EREBP
Glyma02g00890.1	AP2-EREBP
Glyma02g01960.1	AP2-EREBP
Glyma02g04460.1	AP2-EREBP
Glyma02g07310.1	AP2-EREBP
