array_element_name	array_element_type	organism	is_control	locus	description	chromosome	start	stop
244901_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00640	encodes a plant b subunit of mitochondrial ATP synthase based on structural similarity and the presence in the F(0) complex.	M	188160	188619
244902_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00650	Encodes NADH dehydrogenase subunit 4L.	M	188954	189182
244903_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00660	hypothetical protein	M	190106	190540
244904_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00670	hypothetical protein	M	191055	191627
244905_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00680	hypothetical protein	M	201768	202096
244906_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00690	hypothetical protein	M	203634	204043
244907_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00710	hypothetical protein	M	207571	207882
244908_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00720	hypothetical protein	M	209500	209821
244909_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00740	hypothetical protein	M	220521	220769
244910_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00750;AT2G07686	[ATMG00750, hypothetical protein];[AT2G07686, transposable element gene]	[ATMG00750, M];[AT2G07686, 2]	[ATMG00750, 220851];[AT2G07686, 3309744]	[ATMG00750, 221184];[AT2G07686, 3310077]
244911_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00820	hypothetical protein	M	228587	229085
244912_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07783;ATMG00830	[AT2G07783, pseudogene, similar to Ccl1, blastp match of 86% identity and 6.4e-177 P-value to GP|1694629|dbj|BAA12329.1||D84373 Ccl1 {Brassica napus}];[ATMG00830, cytochrome c biogenesis orf382]	[AT2G07783, 2];[ATMG00830, M]	[AT2G07783, 3298489];[ATMG00830, 231962]	[AT2G07783, 3298967];[ATMG00830, 232440]
244913_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00840	hypothetical protein	M	234558	234901
244914_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00850;AT2G07682	[ATMG00850, hypothetical protein];[AT2G07682, transposable element gene]	[ATMG00850, M];[AT2G07682, 2]	[ATMG00850, 235340];[AT2G07682, 3295550]	[ATMG00850, 235438];[AT2G07682, 3295648]
244915_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00860;AT2G07682	[ATMG00860, hypothetical protein];[AT2G07682, transposable element gene]	[ATMG00860, M];[AT2G07682, 2]	[ATMG00860, 235918];[AT2G07682, 3294599]	[ATMG00860, 236390];[AT2G07682, 3295071]
244916_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00880;AT2G07682	[ATMG00880, hypothetical protein];[AT2G07682, transposable element gene]	[ATMG00880, M];[AT2G07682, 2]	[ATMG00880, 237063];[AT2G07682, 3293483]	[ATMG00880, 237507];[AT2G07682, 3293927]
244917_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00870	hypothetical protein	M	236945	237469
244918_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00890	hypothetical protein	M	239639	239947
244919_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07768;ATMG00960	[AT2G07768, pseudogene, similar to Ccl1, blastp match of 92% identity and 1.9e-108 P-value to GP|1694631|dbj|BAA12330.1||D84374 Ccl1 {Brassica napus}];[ATMG00960, Encodes a protein of the mitochondrial membrane which has been shown to be present in a number of unidentified complexes including a 500-KDa complex postulated to have heme lyase activity, in which another protein (AtCCMH, AT1G15220) is also involved. cytochrome c biogenesis orf203.]	[AT2G07768, 2];[ATMG00960, M]	[AT2G07768, 3273553];[ATMG00960, 256909]	[AT2G07768, 3274107];[ATMG00960, 257464]
244920_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07751;ATMG00990	[AT2G07751, NADH-ubiquinone oxidoreductase chain 3, putative];[ATMG00990, NADH dehydrogenase subunit 3]	[AT2G07751, 2];[ATMG00990, M]	[AT2G07751, 3270038];[ATMG00990, 260650]	[AT2G07751, 3270358];[ATMG00990, 260970]
